URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN m²,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
https://www.pararius.com/apartment-for-rent/amsterdam/9cd278ec/paramaribostraat,Apartment Paramaribostraat 156 1,1058 VR (Westindische Buurt),2950,102,4,Upholstered or furnished,"For rent Amsterdam beautiful apartment 102m2: on the first floor is a large living room with open kitchen (fully equipped). Balcony, toilet, hallway with stairs and first bedroom on this floor. On top floor another 2 nice bedrooms, beautiful bathroom including toilet, douche and bath. At the roof is a very sunny, large and private roof terrace.  ",2 weeks,01-09-2022,Specifics are not available,Good,355,Apartment,Existing building,1930,in a residential area,3,1,2,Present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/9cd278ec/amsterdam/viadaan-nijmegen/request-details,2022-08-03 17:17:58
https://www.pararius.com/apartment-for-rent/amsterdam/0f179e7f/kerdijkhof,Apartment Kerdijkhof 22,1067 MN (Geuzenveld),2100,86,3,Furnished,Details:,03-08-2022,03-10-2022,Specifics are not available,Excellent,258,Apartment,Existing building,2008,Location type is not available,2,1,1,Not present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/0f179e7f/amsterdam/amsterdam-housing/request-details,2022-08-03 17:17:59
https://www.pararius.com/apartment-for-rent/amsterdam/5db672d3/kerkstraat,Apartment Kerkstraat,1017 HW (Grachtengordel-Zuid),5000,120,3,Furnished,"Spacious fully furnished two bedroom apartment, with huge living overlooking the park, with en suite diningroom with private wrap-around balcony and roofterrace, divided over two floors.   ",03-08-2022,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/5db672d3/amsterdam/expats-amsterdam-rentals-2/request-details,2022-08-03 17:18:00
https://www.pararius.com/apartment-for-rent/amsterdam/23d9a1d1/kleiburg,Apartment Kleiburg 546,"1104 EA (Bijlmer Oost (E,G,K))",1550,60,2,Furnished,PLEASE APPLY FOR VIEWING OVER E-MAIL ONLY.,03-08-2022,03-10-2022,Specifics are not available,Upkeep is not available,180,Apartment,Existing building,1971,Location type is not available,1,1,1,Present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/23d9a1d1/amsterdam/amsterdam-housing/request-details,2022-08-03 17:18:01
https://www.pararius.com/apartment-for-rent/amsterdam/3129fe59/valkenburgerstraat,Apartment Valkenburgerstraat 134 E,1011 NA (Nieuwmarkt/Lastage),3150,95,3,Furnished,NIEUW IN DE VERHUUR! Luxe gemeubileerd 3-kamer (fully serviced) appartement met 2 badkamers en balkon in het centrum van Amsterdam.,03-08-2022,01-09-2022,Accessible for seniors,Excellent,266,Apartment,Existing building,2015,Location type is not available,2,2,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/3129fe59/amsterdam/idealestate-housing-consultancy/request-details,2022-08-03 17:18:02
https://www.pararius.com/apartment-for-rent/amsterdam/97316e5e/silvoldestraat,Apartment Silvoldestraat 75,1107 TD (Holendrecht/Reigersbos),1450,72,3,Upholstered or furnished,OPEN HOUSE! Feel free to come by to view this nice apartment on wednesday 29 December from 4 pm to 4.30 pm.,03-08-2022,consultation,Specifics are not available,Upkeep is not available,180,Apartment,Existing building,1970,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/97316e5e/amsterdam/vz-makelaardij-taxaties/request-details,2022-08-03 17:18:03
https://www.pararius.com/house-for-rent/amsterdam/18769dde/lijnbaansgracht,House Lijnbaansgracht,1015 GS (Jordaan),2300,57,3,Furnished,Now for sale: Detached houseboat in the heart of the Jordaan.,03-08-2022,Not available to book,Specifics are not available,Good,198,House,Existing building,1992,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/18769dde/amsterdam/hoofdstad-makelaars/request-details,2022-08-03 17:18:04
https://www.pararius.com/apartment-for-rent/amsterdam/c26f772c/bloemgracht,Apartment Bloemgracht 110 B,1015 TN (Jordaan),2650,103,4,Furnished,Lovely ground floor split level apartment with garden in the popular Jordaan. ,03-08-2022,02-09-2022,Monumental building,Good,225,Apartment,Existing building,1644,Location type is not available,2,Number of bathrooms is not available,4,Not present,Details of garden is not available,Present,Vrijstaand hout,Yes,https://www.pararius.com/contact/c26f772c/amsterdam/dutch-housing-centre-bv/request-details,2022-08-03 17:18:05
https://www.pararius.com/apartment-for-rent/amsterdam/3a93df57/gustav-mahlerplein,Apartment Gustav Mahlerplein 165,1082 MS (Zuidas),2850,104,3,Upholstered or furnished,"For rent in the majestic Symphony Residence building, a perfectly finished and very bright two bedroom apartment of approximately 102 m2 with beautiful character. Located on the 7th floor of this iconic building in the heart of the Zuidas.",03-08-2022,consultation,"Accessible for disabled people, accessible for seniors",Excellent,362,Apartment,Existing building,2010,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,-2 (nr. 45),Yes,https://www.pararius.com/contact/3a93df57/amsterdam/knap-makelaardij/request-details,2022-08-03 17:18:06
https://www.pararius.com/apartment-for-rent/amsterdam/5bd37e27/marcusstraat,Apartment Marcusstraat,1091 TJ (Weesperzijde),3500,117,4,Furnished,Modern fully furnished three bedroom / two bathroom apartment divided over two floors with sunny roofterrace and private parking.   ,02-08-2022,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,3,1,Number of floors is not available,Not present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/5bd37e27/amsterdam/expats-amsterdam-rentals-2/request-details,2022-08-03 17:18:07
