File,URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN m²,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/700dc064/kerkstraat,Apartment Kerkstraat 127 B,1017 GE (Grachtengordel-Zuid),2400,84,3,Upholstered or furnished,"Luxurious, fully furnished, Penthouse apartment (approx. 84 m2) with two bedrooms and large roof terrace, in the middle of Kerkstraat in Amsterdam.",3 weeks,01-09-2022,Specifics are not available,Upkeep is not available,160,Apartment,Existing building,1005,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/700dc064/amsterdam/vastgoed-unie-makelaardij/request-details,2022-08-03 17:22:07
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/92cde2d7/prinsengracht,Apartment Prinsengracht 625 2,1016 HV (Grachtengordel-West),3250,120,4,Upholstered,NEW FOR RENT!,7 weeks,Not available to book,Specifics are not available,Excellent,325,Apartment,Existing building,1005,By the water,2,1,3,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/92cde2d7/amsterdam/27-huis-makelaars/request-details,2022-08-03 17:23:56
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/3c0d0f7e/prinsengracht,Apartment Prinsengracht 701 2A,1017 JV (Grachtengordel-Zuid),2050,60,2,Upholstered or furnished,Exclusively for rent at de Hollandsche Makelaardij a beautiful apartment on the Prinsengracht in Amsterdam-Centre:,23-07-2022,Not available to book,Monumental building,Good,144,Apartment,Existing building,1005,Location type is not available,1,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/3c0d0f7e/amsterdam/hollandsche-makelaardij/request-details,2022-08-03 17:26:13
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/2bd720f0/leliegracht,Apartment Leliegracht 12 1,1015 DE (Grachtengordel-West),2250,95,2,Furnished,Maximum 6 Months,3+ months,Not available to book,Specifics are not available,Upkeep is not available,300,Apartment,Existing building,1005,Location type is not available,1,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/2bd720f0/amsterdam/amsterdam-housing/request-details,2022-08-03 17:27:21
amsterdam_8.csv,https://www.pararius.com/apartment-for-rent/amsterdam/06f2c6e0/nieuwe-leliestraat,Apartment Nieuwe Leliestraat 66 H,1015 SV (Jordaan),2750,78,3,Upholstered or furnished,Living in a historical building in famous Jordaan area! Fully renovated double floor unit with garden!,10-08-2022,01-09-2022,"Accessible for seniors, monumental building",Excellent,250,Apartment,Existing building,1005,Location type is not available,2,1,2,Not present,"Present (15 m², located on the north-west)",Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/06f2c6e0/amsterdam/vastgoed-unie-makelaardij/request-details,2022-08-10
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/18bb0b5f/herengracht,Apartment Herengracht 26 I,1015 BL (Grachtengordel-West),2500,74,2,Furnished,"Charming, high-quality 1-bedroom apartment (approx. 74sqm) located on a prime location with a beautiful view over the Herengracht canal! ",22-07-2022,Not available to book,Monumental building,Upkeep is not available,225,Apartment,Existing building,1615,Location type is not available,1,1,1,Not present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/18bb0b5f/amsterdam/listings/request-details,2022-08-03 17:26:15
amsterdam_1.csv,https://www.pararius.com/house-for-rent/amsterdam/5c31c721/egelantiersgracht,House Egelantiersgracht 103,1015 RG (Jordaan),3495,110,4,Upholstered,Charming upholstered house for rent in Amsterdam with 3 bedrooms in the Jordaan district.,6 weeks,consultation,Monumental building,Good,407,House,Existing building,1617,Location type is not available,3,2,6,Not present,Details of garden is not available,Present,Inpandig,Yes,https://www.pararius.com/contact/5c31c721/amsterdam/pc22-makelaars-taxateurs-o-z/request-details,2022-08-03 17:27:02
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/dbba24fc/keizersgracht,Apartment Keizersgracht,1015 CJ (Grachtengordel-West),3500,110,3,Interior is not available,"Keizersgracht 133 D, 1015 CJ Amsterdam",26-07-2022,Not available to book,Monumental building,Good,349,Apartment,Existing building,1620,Location type is not available,2,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/dbba24fc/amsterdam/heeren-makelaars-b-v/request-details,2022-08-03 17:20:18
amsterdam_1.csv,https://www.pararius.com/apartment-for-rent/amsterdam/3fcfbe0b/singel,Apartment Singel 518,1017 AX (Grachtengordel-Zuid),2750,105,3,Interior is not available,"A unique, spacious and fully renovated two bedroom apartment in a national monument, the former Pakhuis d'Eendragt on the Bloemenmarkt. This beautiful apartment on the second floor is located in the center of Amsterdam with a great view over the Bloemenmarkt, the Singel and the Munttoren. The apartment has a spacious living room with French balcony, open kitchen, two bedrooms and a luxurious bathroom.",2 months,Not available to book,"Accessible for disabled people, accessible for seniors, monumental building, protected townscape",Good,304,Apartment,Existing building,1625,In the city centre,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/3fcfbe0b/amsterdam/forte-makelaars/request-details,2022-08-03 17:27:13
amsterdam_6.csv,https://www.pararius.com/apartment-for-rent/amsterdam/42b212a7/singel,Apartment Singel,1017 AV (Grachtengordel-Zuid),2250,90,2,Furnished,"Beautiful historic building on the edge of two canals, with views of three canals. Located near the Nine Streets, Jordaan and downtown area.",08-08-2022,consultation,Monumental building,Good,213,Apartment,Existing building,1637,Location type is not available,1,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/42b212a7/amsterdam/absolute-housing/request-details,2022-08-08
