URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN m²,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
https://www.pararius.com/apartment-for-rent/amsterdam/01b69b03/minervaplein,Apartment Minervaplein,1077 TR (Apollobuurt),2850,111,3,Furnished,We are proud to offer this spacious one bedroom apartment at the 3rd floor in one of the best locations in Amsterdam Zuid. The apartment is situated on the 3rd floor floor of a stately listed block of apartments. The block is very well maintained and has a lift.,3 weeks,Not available to book,Specifics are not available,Excellent,320,Apartment,Existing building,1926,Location type is not available,1,1,1,Present,Not present,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/01b69b03/amsterdam/city-housing-amsterdam/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/7db3a532/hillegomstraat,Apartment Hillegomstraat 32 2,1058 LT (Hoofddorppleinbuurt),2800,85,4,Furnished,NOT SUITABLE FOR 2 OR 3 SHARERS,2 weeks,Not available to book,Specifics are not available,Excellent,230,Apartment,Existing building,1900,Location type is not available,3,1,3,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/7db3a532/amsterdam/van-huis-uit-makelaars/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/e45b417d/olympiaplein,Apartment Olympiaplein,1077 CR (Apollobuurt),2700,100,3,Upholstered,OLYMPIAPLEIN (CA.100M2) OUD ZUID/STADIONBUURT-VONDELPARK  ,02-09-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/e45b417d/amsterdam/amsterdam-city-homes/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/d8626774/meerhuizenstraat,Apartment Meerhuizenstraat,1078 TE (IJselbuurt),1975,65,3,Upholstered,MEERHUIZENSTRAAT (CA.65M2) AMSTERDAM - ZUID / RIVIERENBUURT/RAI  ,02-09-2022,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/d8626774/amsterdam/amsterdam-city-homes/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/511058a2/bestevaerstraat,Apartment Bestevâerstraat,1055 TK (Landlust),1750,60,2,Upholstered or furnished,Cozy fully furnished two bedroom apartment with sunny west facing balcony.   ,02-09-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/511058a2/amsterdam/woonmarkt-amsterdam/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/a0bd7100/leusdenhof,Apartment Leusdenhof,1108 CS (Nellestein),1900,80,3,Furnished,Very nice modern fully furnished 2 bedroom apartment of 80m2 with garage space for 1 car in the garage belonging to the apartment complex. Available 01 October 2022  ,02-09-2022,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/a0bd7100/amsterdam/expat-apartment-service/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/2bfe33ab/baffinstraat,Apartment Baffinstraat 15 1,1057 SV (Hoofdweg e.o.),1775,54,3,Upholstered,Please request a viewing on our own website.,02-09-2022,10-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/2bfe33ab/amsterdam/liv-residential-amsterdam-4/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/3671c460/baarsjesweg,Apartment Baarsjesweg,1058 AD (Westindische Buurt),2800,50,2,Furnished,"Luxury furnished 1 bedroom apartment. Fully equipped kitchen, private spacious roof terrace. Available for short-term rent between 2 -6 months.  Great courtyard, to chill in the evenings watch the stars, maybe meet your neighbours.",02-09-2022,15-09-2022,Specifics are not available,Excellent,225,Apartment,Existing building,1967,Location type is not available,1,1,1,Details of balcony is not available,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/3671c460/amsterdam/amsterdam-rentals/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/fc01d58d/kanaalstraat,Apartment Kanaalstraat 14 2,1054 XH (Helmersbuurt),1850,50,2,Furnished,ONLY SUITABLE FOR 1 WORKING PERSON,02-09-2022,01-10-2022,Specifics are not available,Good,140,Apartment,Existing building,1900,Location type is not available,1,1,1,Present,Present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/fc01d58d/amsterdam/van-huis-uit-makelaars/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/baac05f1/rooseveltlaan,Apartment Rooseveltlaan,1079 AB (Scheldebuurt),3000,143,5,Upholstered,Renovated and furnished spacious 5-room apartment of approx. 143 m² with a spacious balcony on the southeast.,02-09-2022,consultation,Specifics are not available,Excellent,372,Apartment,Existing building,1934,in a residential area,5,2,2,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/baac05f1/amsterdam/brinkborgh-makelaardij/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/6f11927b/rietnesse,Apartment Rietnesse 8 III,1082 CG (Buitenveldert-West),1950,64,2,Furnished,"We offer this luxurious apartment which is fully furnished with an eye for detail. The apartment is perfectly located only a stone's throw from local shops on the Kastelenstraat and 5 minutes from the luxury shopping center Groot Gelderlandplein. In addition, you will find public transport within walking distance and sufficient parking space is available in the immediate vicinity. Major highways (ring A-10) to various directions are also a short distance away. You can enjoy walking, cycling and running in nearby Amstelpark or the Amsterdamse Bos.",02-09-2022,01-10-2022,Specifics are not available,Good,210,Apartment,Existing building,1961,Location type is not available,1,1,1,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/6f11927b/amsterdam/dutch-housing-centre-bv/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/716dc7b0/hemonystraat,Apartment Hemonystraat 42 III,1074 BS (Oude Pijp),2350,97,3,Upholstered,NOT SUITABLE FOR SHARING,02-09-2022,15-09-2022,Specifics are not available,Good,260,Apartment,Existing building,1906-1930,Location type is not available,2,1,2,Not present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/716dc7b0/amsterdam/dutch-housing-centre-bv/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/e7b64a51/tintorettostraat,Apartment Tintorettostraat 17 hs,1077 RN (Apollobuurt),4250,145,5,Upholstered,"We offer this spectacular renovated unfurnished apartment located in Old South with a charming, south facing backyard. In the backyard you will find a garden house which has been turned into a luxurious bedroom with kitchenette, bathroom and toilet. The apartment has been fully renovated and offers lots of luxury like for example indirect light throughout the apartment which is controlled via remote controls or via an app on your smartphone. ",02-09-2022,05-09-2022,Specifics are not available,Excellent,380,Apartment,Existing building,1920,Location type is not available,3,2,1,Not present,"Present (60 m², located on the south)",Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/e7b64a51/amsterdam/dutch-housing-centre-bv/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/4715a3ec/julius-pergerstraat,Apartment Julius Pergerstraat,1087 KN (IJburg Zuid),1600,84,3,Furnished,Lovely furnished apartment for rent in Amsterdam with 2 bedrooms in the IJburg Zuid district.,02-09-2022,15-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Details of balcony is not available,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/4715a3ec/amsterdam/123wonen-amsterdam/request-details,2022-09-03
https://www.pararius.com/apartment-for-rent/amsterdam/8a099d3d/bestevaerstraat,Apartment Bestevâerstraat 244 1,1055 TT (Landlust),1750,59,2,Upholstered or furnished,"TO SCHEDULE A VIEWING, DO NOT CALL OR EMAIL BUT BOOK YOUR VIEWING AT THE LINK BELOW (remove the 'spacebar' between 'dot(.)' and 'com')",02-09-2022,01-11-2022,Specifics are not available,Upkeep is not available,165,Apartment,Existing building,1934,Location type is not available,1,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/8a099d3d/amsterdam/housingnet/request-details,2022-09-03
