URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN SQ METRE,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
https://www.pararius.com/apartment-for-rent/rotterdam/ad5ba147/librijesteeg,Apartment Librijesteeg,3011 HN (Stadsdriehoek),1595,84,3,Furnished,Lovely furnished apartment for rent in Rotterdam with 2 bedrooms in the Stadsdriehoek district.,22-08-2022,30-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,2003,Location type is not available,2,1,Number of floors is not available,Not present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/ad5ba147/rotterdam/stadsmeesters/request-details,2022-08-22 20:14:53
https://www.pararius.com/apartment-for-rent/rotterdam/64ffec32/de-lairesselaan,Apartment De Lairesselaan,3062 PG (Kralingen Oost),1600,75,3,Upholstered,Beautiful apartment with balcony for rent in Rotterdam with 2 bedrooms in the Kralingen Oost district.,22-08-2022,Not available to book,Specifics are not available,Good,Volume is not available,Apartment,Existing building,1964,in a residential area,2,Number of bathrooms is not available,1,Present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/64ffec32/rotterdam/j-j-h-vastgoed-beheer/request-details,2022-08-22 20:14:55
https://www.pararius.com/apartment-for-rent/rotterdam/7710cc49/noorderhavenkade,Apartment Noorderhavenkade,3039 RH (Blijdorp),1295,54,2,Upholstered,Nice apartment for rent in Rotterdam with 1 bedroom in the Blijdorp district.,22-08-2022,consultation,Specifics are not available,Excellent,Volume is not available,Apartment,Existing building,1935,Location type is not available,1,1,1,Details of balcony is not available,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/7710cc49/rotterdam/kolpa-v-v-s-beheer/request-details,2022-08-22 20:14:56
https://www.pararius.com/apartment-for-rent/rotterdam/2c586599/stadhoudersweg,Apartment Stadhoudersweg,3039 ED (Blijdorp),3500,170,6,Upholstered,Characteristic upholstered apartment with garden for rent in Rotterdam with 5 bedrooms in the Blijdorp district.,22-08-2022,consultation,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,5,1,1,Details of balcony is not available,Present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/2c586599/rotterdam/kolpa-v-v-s-beheer/request-details,2022-08-22 20:14:57
https://www.pararius.com/apartment-for-rent/rotterdam/82ece95b/witte-de-withstraat,Apartment Witte de Withstraat,3012 BL (Cool),1750,74,3,Furnished,"Fully furnished 2-bedroom apartment for rent in the heart of Rotterdam! Situated on one the most popular streets in Rotterdam: Witte de Withstraat. The street is lively due to plenty of restaurants, bars, art centers and many more things to see. Close to the apartment is metro station Beurs and train station Blaak which can be reached within 5 minutes on foot. Also close by you can find The Markthal, the Oude Haven and the Koopgoot where all the larger shops can be found. Last mentioned can be reached within 5 minutes by bike.  ",22-08-2022,Not available to book,Specifics are not available,Good,205,Apartment,Existing building,1949,In the city centre,1,1,1,Details of balcony is not available,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/82ece95b/rotterdam/verra-real-estate-rotterdam-den-haag/request-details,2022-08-22 20:14:59
https://www.pararius.com/apartment-for-rent/rotterdam/06d2ce37/hoogstraat,Apartment Hoogstraat,3011 PR (Stadsdriehoek),1595,62,3,Furnished,Ready to move in 3-room apartment (furnished) in the middle of the center of Rotterdam.,22-08-2022,Not available to book,Specifics are not available,Good,205,Apartment,Existing building,1955,Location type is not available,2,1,1,Present,Not present,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/06d2ce37/rotterdam/housing-solutions/request-details,2022-08-22 20:15:01
https://www.pararius.com/apartment-for-rent/rotterdam/e750b9da/wijnhaven,Apartment Wijnhaven,3011 WH (Stadsdriehoek),2250,109,3,Furnished,"Now available in a prime location, a fully furnished and luxurious 3 room apartment with a fabulous view over the Maas, the Hef and the Willemsbrug. The apartment is located on the 13th floor of the luxury complex ""Wijnhaeve"", in the lively Stadsdriehoek near the Old Port and all other city amenities, public transport (train, tram, metro and bus) a stone's throw away.  ",22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,2009,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/e750b9da/rotterdam/interhouse-verhuurmakelaars-rotterdam/request-details,2022-08-22 20:15:02
https://www.pararius.com/apartment-for-rent/rotterdam/c294738c/noordmolendwarsstraat,Apartment Noordmolendwarsstraat 43 C,3035 WD (Oude Noorden),1345,25,2,Upholstered,"Completely renovated apartment of approximately 25m2. This beautiful apartment located on the second floor has 2 similar bedrooms and a cozy living room along with an open kitchen. The apartment has been recently renovated. The luxury fitted kitchen & sanitary facilities are finished to a high standard. The property is centrally located in the old north with a nice shopping street and cozy pubs in the area. This property is suitable for colleagues, students, working sharers or family. Guarantee may be applied!   ",22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1877,Location type is not available,1,1,Number of floors is not available,Not present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/c294738c/rotterdam/irent020/request-details,2022-08-22 20:15:03
https://www.pararius.com/apartment-for-rent/rotterdam/a1d8f437/hellevoetstraat,Apartment Hellevoetstraat,3081 NN (Tarwewijk),1350,55,3,Upholstered,New for rent! A very high quality renovated 2 bedroom apartment in Rotterdam South.   ,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,New development,2022,Location type is not available,2,1,Number of floors is not available,Not present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/a1d8f437/rotterdam/yp-housing/request-details,2022-08-22 20:15:04
https://www.pararius.com/apartment-for-rent/rotterdam/5f23ec7e/henegouwerlaan,Apartment Henegouwerlaan,3021 CT (Middelland),1190,65,2,Shell,Beautiful apartment with balcony for rent in Rotterdam with 1 bedroom in the Middelland district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/5f23ec7e/rotterdam/in-de-stad/request-details,2022-08-22 20:15:06
https://www.pararius.com/apartment-for-rent/rotterdam/f81790b3/grote-visserijstraat,Apartment Grote Visserijstraat,3026 CC (Tussendijken),535,60,3,Shell,Apartment for rent in Rotterdam with 2 bedrooms in the Tussendijken district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Not present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/f81790b3/rotterdam/in-de-stad/request-details,2022-08-22 20:15:08
https://www.pararius.com/apartment-for-rent/rotterdam/683d2507/teilingerstraat,Apartment Teilingerstraat,3032 AS (Agniesebuurt),1295,73,2,Furnished,"Furnished 2 room apartment on the third floor with two balconies located in the center of Rotterdam. Within walking distance of tram line 4, shopping street Zwart Jansstraat, Hofplein. Closed entrance with letterbox.",22-08-2022,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1964,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/683d2507/rotterdam/rotterdam-apartments/request-details,2022-08-22 20:15:09
https://www.pararius.com/apartment-for-rent/rotterdam/523d803d/bulgersteyn,Apartment Bulgersteyn,3011 AB (Stadsdriehoek),1895,110,3,Furnished,"A fully furnished apartment located on the 22nd floor of the Schielandtoren (Schieland tower). The apartment offers fantastic views over the whole of Rotterdam. Shops, museums and restaurants are just steps away. Public transport like metro station Stock Exchange, 32 and 48 bus, tram 8, 21, 23 and 25 stop in front   ",22-08-2022,23-08-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1996,Location type is not available,2,Number of bathrooms is not available,Number of floors is not available,Not present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/523d803d/rotterdam/rotterdam-apartments/request-details,2022-08-22 20:15:10
https://www.pararius.com/apartment-for-rent/rotterdam/584e7cab/van-der-hilststraat,Apartment Van der Hilststraat 6 A01,3023 PL (Nieuwe Westen),1200,55,2,Upholstered,A beautifully renovated turn-key apartment (2022) with balcony on the van der Hilststraat in Rotterdam-West. This apartment is equipped with all kinds of conveniences. Shops and public transport are within walking distance.   ,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1901,Location type is not available,1,1,Number of floors is not available,Not present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/584e7cab/rotterdam/huurwoning-in-rotterdam/request-details,2022-08-22 20:15:11
https://www.pararius.com/apartment-for-rent/rotterdam/ae8c5d29/willem-beukelszstraat,Apartment Willem Beukelszstraat,3027 CL (Spangen),1090,61,1,Furnished,For rent!,22-08-2022,consultation,Specifics are not available,Good,183,Apartment,Existing building,1926,In the city centre,1,1,1,Details of balcony is not available,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/ae8c5d29/rotterdam/expat-housing-rotterdam/request-details,2022-08-22 20:15:12
https://www.pararius.com/apartment-for-rent/rotterdam/dbc4d7d3/kimbrenoord,Apartment Kimbrenoord,3079 KC (Groot IJsselmonde),830,68,4,Shell,Beautiful apartment with balcony for rent in Rotterdam with 3 bedrooms in the Groot IJsselmonde district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,3,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/dbc4d7d3/rotterdam/in-de-stad/request-details,2022-08-22 20:15:15
https://www.pararius.com/apartment-for-rent/rotterdam/a7fda599/beukelsdijk,Apartment Beukelsdijk,3022 DK (Nieuwe Westen),1110,64,3,Shell,Beautiful apartment for rent in Rotterdam with 2 bedrooms in the Nieuwe Westen district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Not present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/a7fda599/rotterdam/in-de-stad/request-details,2022-08-22 20:15:16
https://www.pararius.com/apartment-for-rent/rotterdam/dc88dd86/graaf-florisstraat,Apartment Graaf Florisstraat,3021 CG (Middelland),795,27,1,Interior is not available,Comfortable upholstered apartment for rent in Rotterdam with 1 bedroom in the Middelland district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Not present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/dc88dd86/rotterdam/in-de-stad/request-details,2022-08-22 20:15:18
https://www.pararius.com/apartment-for-rent/rotterdam/da37d168/van-cittersstraat,Apartment Van Cittersstraat 58 A02,3022 LL (Nieuwe Westen),1650,114,4,Upholstered,Nice and spacious 5 room house available per diect on a lively street.   ,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,3,1,Number of floors is not available,Not present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/da37d168/rotterdam/additio-admin/request-details,2022-08-22 20:15:19
https://www.pararius.com/apartment-for-rent/rotterdam/c90d458c/jufferstraat,Apartment Jufferstraat,3011 XM (Stadsdriehoek),1975,100,3,Shell,Apartment with balcony for rent in Rotterdam with 2 bedrooms in the Stadsdriehoek district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/c90d458c/rotterdam/in-de-stad/request-details,2022-08-22 20:15:20
https://www.pararius.com/apartment-for-rent/rotterdam/1212646b/jufferstraat,Apartment Jufferstraat,3011 XM (Stadsdriehoek),2025,115,3,Shell,Charming apartment with balcony for rent in Rotterdam with 2 bedrooms in the Stadsdriehoek district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/1212646b/rotterdam/in-de-stad/request-details,2022-08-22 20:15:23
https://www.pararius.com/apartment-for-rent/rotterdam/e9552a59/randweg,Apartment Randweg 105,3074 BK (Hillesluis),1495,90,2,Upholstered,"From the end of September, two completely renovated homes with a spacious garden are available in a monumental mansion!",22-08-2022,01-10-2022,Monumental building,Excellent,135,Apartment,Existing building,Constructed year is not available,Location type is not available,1,Number of bathrooms is not available,1,Not present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/e9552a59/rotterdam/easymakelaars/request-details,2022-08-22 20:15:24
https://www.pararius.com/apartment-for-rent/rotterdam/e1e75794/jufferstraat,Apartment Jufferstraat,3011 XM (Stadsdriehoek),2075,130,4,Shell,Conveniently located apartment with balcony for rent in Rotterdam with 3 bedrooms in the Stadsdriehoek district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,3,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/e1e75794/rotterdam/in-de-stad/request-details,2022-08-22 20:15:25
https://www.pararius.com/apartment-for-rent/rotterdam/235aeddc/jufferstraat,Apartment Jufferstraat,3011 XM (Stadsdriehoek),1435,62,2,Shell,Beautiful apartment with balcony for rent in Rotterdam with 1 bedroom in the Stadsdriehoek district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/235aeddc/rotterdam/in-de-stad/request-details,2022-08-22 20:15:27
https://www.pararius.com/apartment-for-rent/rotterdam/d7729470/jufferstraat,Apartment Jufferstraat,3011 XM (Stadsdriehoek),1385,62,2,Shell,Beautiful apartment with balcony for rent in Rotterdam with 1 bedroom in the Stadsdriehoek district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/d7729470/rotterdam/in-de-stad/request-details,2022-08-22 20:15:28
https://www.pararius.com/apartment-for-rent/rotterdam/12b05cba/jufferstraat,Apartment Jufferstraat,3011 XM (Stadsdriehoek),1835,62,2,Shell,Beautiful apartment with balcony for rent in Rotterdam with 1 bedroom in the Stadsdriehoek district.,22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/12b05cba/rotterdam/in-de-stad/request-details,2022-08-22 20:15:29
https://www.pararius.com/apartment-for-rent/rotterdam/4251738f/eendrachtsweg,Apartment Eendrachtsweg,3012 LD (Cool),1700,78,3,Upholstered,Beautiful upholstered apartment for rent in Rotterdam with 2 bedrooms in the Cool district.,22-08-2022,consultation,Specifics are not available,Upkeep is not available,270,Apartment,Existing building,Constructed year is not available,Location type is not available,2,Number of bathrooms is not available,1,Details of balcony is not available,Not present,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/4251738f/rotterdam/rotsvast-rotterdam/request-details,2022-08-22 20:15:35
https://www.pararius.com/apartment-for-rent/rotterdam/46323a48/eendrachtsweg,Apartment Eendrachtsweg,3012 LD (Cool),1700,83,3,Upholstered,Lovely upholstered apartment for rent in Rotterdam with 2 bedrooms in the Cool district.,22-08-2022,consultation,Specifics are not available,Upkeep is not available,280,Apartment,Existing building,Constructed year is not available,Location type is not available,2,Number of bathrooms is not available,1,Details of balcony is not available,Not present,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/46323a48/rotterdam/rotsvast-rotterdam/request-details,2022-08-22 20:15:36
https://www.pararius.com/apartment-for-rent/rotterdam/6aaf7181/hoogstraat,Apartment Hoogstraat,3011 PE (Stadsdriehoek),1750,76,4,Upholstered,STUDENTS ATTENTION!  ,22-08-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1953,Location type is not available,3,1,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/6aaf7181/rotterdam/interhouse-verhuurmakelaars-rotterdam/request-details,2022-08-22 20:15:38
