File,URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN SQ METRE,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
rotterdam_6.csv,https://www.pararius.com/studio-for-rent/rotterdam/c3f21cb6/kasteelweg,Studio Kasteelweg,3077 BN (Oud IJsselmonde),935,20,1,Furnished,"This studio in the IJsselmonde district is located in a beautiful municipal monumental building, including private parking, storage room and communal garden. Public transport as well as various shops are located a stone's throw away. Layout:",28-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1864,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/c3f21cb6/rotterdam/rotterdam-apartments/request-details,2022-08-08 22:45:58
rotterdam_1.csv,https://www.pararius.com/apartment-for-rent/rotterdam/f77c1bca/witte-de-withstraat,Apartment Witte de Withstraat,3012 BT (Cool),1295,60,2,Upholstered,Upholstered apartment for rent in Rotterdam with 1 bedroom in the Cool district.,3+ months,Not available to book,Specifics are not available,Excellent,Volume is not available,Apartment,Existing building,1872,Location type is not available,1,1,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/f77c1bca/rotterdam/kolpa-v-v-s-beheer/request-details,2022-08-03 17:44:47
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/55bc83d6/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1850,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/55bc83d6/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:18
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/d9298622/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,16-11-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/d9298622/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:19
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/01440f76/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,02-12-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/01440f76/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:20
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/91020556/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,02-12-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/91020556/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:50
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/bc691a74/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,02-12-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/bc691a74/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:51
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/3ffaade4/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,10-12-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/3ffaade4/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:52
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/aea1a32a/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,01-02-2023,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/aea1a32a/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:53
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/9fa26eff/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,09-11-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/9fa26eff/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:54
