,CONSTRUCTION YEAR
2022,80
1872,29
1933,25
2021,21
1957,21
1926,20
1927,19
1937,17
1938,16
2013,14
1930,12
2000,12
1939,12
1955,12
2020,12
1934,11
1953,11
2019,11
2001,10
1925,10
1981,10
1961,10
2005,10
1954,9
1935,9
1923,8
2018,8
1964,8
1906,8
1952,8
1960,8
1988,8
1910,8
2009,8
1931,8
1929,7
1924,7
1900,7
2014,7
1882,7
1940,7
1992,7
1903,7
1913,7
1920,6
1899,6
1947,6
1898,6
1932,6
1909,6
1904,6
2004,6
1897,6
2010,5
2017,5
1965,5
1958,5
2011,5
1905,5
1928,5
1984,5
1895,5
1990,5
2006,5
1936,5
1980,4
1998,4
2007,4
1973,4
2008,4
1996,4
1993,4
2003,4
1983,4
2002,4
1989,4
1999,4
1949,4
1956,4
1902,4
1912,4
1922,4
1959,3
1941,3
1877,3
2015,3
1887,3
1893,3
1901,3
1911,3
1916,3
1991,3
1921,3
1995,3
1982,3
1951,3
1978,3
1962,2
1896,2
1950,2
1881,2
1908,2
1977,2
1889,2
1914,2
1888,2
1994,2
1963,2
1979,2
1945,2
1917,2
1919,2
1873,2
1986,2
1876,1
2016,1
1885,1
1967,1
2012,1
1879,1
1972,1
1890,1
1891,1
1892,1
1970,1
1894,1
1985,1
1907,1
1997,1
1915,1
1943,1
1987,1
1864,1
